2018-05-08 10:15:24[platform] INFO [main-SendThread(192.168.0.2:2181)] ClientCnxn$SendThread.logStartConnect(975) | Opening socket connection to server 192.168.0.2/192.168.0.2:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-08 10:15:24[platform] INFO [main-SendThread(192.168.0.2:2181)] ClientCnxn$SendThread.primeConnection(852) | Socket connection established to 192.168.0.2/192.168.0.2:2181, initiating session
2018-05-08 10:15:24[platform] INFO [main-SendThread(192.168.0.2:2181)] ClientCnxn$SendThread.onConnected(1235) | Session establishment complete on server 192.168.0.2/192.168.0.2:2181, sessionid = 0x1625fe0725108ee, negotiated timeout = 5000
2018-05-08 10:15:24[platform] INFO [main-EventThread] ZkClient.processStateChanged(449) | zookeeper state changed (SyncConnected)
2018-05-08 10:15:24[platform] INFO [ZkClient-EventThread-16-192.168.0.2:2181] ZkEventThread.run(82) | Terminate ZkClient event thread.
2018-05-08 10:15:24[platform] INFO [main] ZooKeeper.close(684) | Session: 0x1625fe0725108ee closed
2018-05-08 10:15:24[platform] INFO [main-EventThread] ClientCnxn$EventThread.run(512) | EventThread shut down
2018-05-08 10:15:32[platform] INFO [Thread-0] AbstractApplicationContext.doClose(1044) | Closing org.springframework.context.support.GenericApplicationContext@709ba3fb: startup date [Tue May 08 10:15:19 CST 2018]; root of context hierarchy
2018-05-08 10:15:32[platform] INFO [Thread-0] DefaultSingletonBeanRegistry.destroySingletons(444) | Destroying singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@2053d869: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,serviceDiscovery,rpcProxy,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2018-05-08 11:20:13[platform] INFO [main] TestContextManager.retrieveTestExecutionListeners(235) | Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2018-05-08 11:20:13[platform] INFO [main] TestContextManager.retrieveTestExecutionListeners(235) | Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2018-05-08 11:20:13[platform] INFO [main] XmlBeanDefinitionReader.loadBeanDefinitions(316) | Loading XML bean definitions from class path resource [META-INF/spring/module-rpc-demo-consumer.xml]
2018-05-08 11:20:13[platform] INFO [main] AbstractApplicationContext.prepareRefresh(512) | Refreshing org.springframework.context.support.GenericApplicationContext@34ce8af7: startup date [Tue May 08 11:20:13 CST 2018]; root of context hierarchy
2018-05-08 11:20:14[platform] INFO [main] PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [META-INF/spring/rpc.properties]
2018-05-08 11:20:14[platform] INFO [main] DefaultListableBeanFactory.preInstantiateSingletons(603) | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@69b0fd6f: defining beans [org.springframework.context.annotation.internalConfigurationAnnotationProcessor,org.springframework.context.annotation.internalAutowiredAnnotationProcessor,org.springframework.context.annotation.internalRequiredAnnotationProcessor,org.springframework.context.annotation.internalCommonAnnotationProcessor,org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0,serviceDiscovery,rpcProxy,org.springframework.context.annotation.ConfigurationClassPostProcessor.importAwareProcessor]; root of factory hierarchy
2018-05-08 11:20:14[platform] INFO [ZkClient-EventThread-13-192.168.0.2:2181] ZkEventThread.run(64) | Starting ZkClient event thread.
2018-05-08 11:20:14[platform] INFO [main] Environment.logEnv(100) | Client environment:zookeeper.version=3.4.6-1569965, built on 02/20/2014 09:09 GMT
2018-05-08 11:20:14[platform] INFO [main] Environment.logEnv(100) | Client environment:host.name=wulinThinkPad
2018-05-08 11:20:14[platform] INFO [main] Environment.logEnv(100) | Client environment:java.version=1.8.0_161
2018-05-08 11:20:14[platform] INFO [main] Environment.logEnv(100) | Client environment:java.vendor=Oracle Corporation
2018-05-08 11:20:14[platform] INFO [main] Environment.logEnv(100) | Client environment:java.home=D:\software\programming\java\jdk\jdk1.8\jre1.8
